Title;Author;Affiliation main author;Country;Open Access?;Peer-reviewed?;Data published?;URI;Notes;;;;
Pollinator efficiency of avocado (Persea americana) flower insect visitors;Sagwe RN et al;International Centre of Insect Physiology and Ecology (icipe); Kenya;Yes;Yes;Yes;https://www.researchgate.net/profile/H-Michael-Lattorff/publication/364338831_Pollinator_efficiency_of_avocado_Persea_americana_flower_insect_visitors/links/634b9ce8ff870c55ce2906f8/Pollinator-efficiency-of-avocado-Persea-americana-flower-insect-visitors.pdf?origin=searchReact&_iepl%5BgeneralViewId%5D=EQPcEREpBZ0D611ko5EjLZn0TWymtjmhzKeo&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=PoGlhKLunLlx81XctzfWTCCzHM7m1M0r8ygG&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountLessEqual20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition5%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=5&_iepl%5BrgKey%5D=PB%3A364338831&_iepl%5BinteractionType%5D=publicationDownload;;;;;
Pollinator supplementation mitigates pollination deficits in smallholder avocado (Persea americana Mill.) production systems in Kenya;Rose Nyakemiso;International Centre of Insect Physiology and Ecology (icipe);Kenya;Yes;Yes;Yes;https://www.sciencedirect.com/science/article/abs/pii/S1439179121001481;Pollinator supplementation mitigates pollination deficits;;;;
Pollinators and people in Kenya;;;Kenya;yes;no;yes;https://whitleyaward.org/winners/pollinators-and-people-in-kenya/;website with database;;;;
Pollinators of the bottle gourd (Lagenaria siceraria) observed in Kenya;MorimotoY, GikunguM & Maundu P;International Plant Genetic Resource Institute (IPGRI), Sub-Saharan Africa Regional Office;Kenya;No;Yes;Yes; https://doi.org/10.1079/IJT20046;Contains data on  mechanisms of pollen transfer within the genus Lagenaria, including insect vectors in the natural and cropped field environment;;;;
Population ecology, diet and movement of straw-coloured fruit bats (eidolon helvum), western kenya;Wilkin, P;American Society of Plant Taxonomists;Kenya;No;;;https://doi.org/10.1600/036364409790139646;;;;;
Potential payment for ecosystem services (pes) scheme in Lake Ol Bolossat Nyandarwa County ;Mburu, Gift Paul;Kenyatta University;Kenya;;;;;;;;;
Priorities for research and development in the management of pollination services for agriculture in Africa;Barbara et al;Food and Agriculture Organization of the United Nations;Kenya;Yes;Yes;Yes;https://www.pollinationecology.org/index.php/jpe/article/view/191/80;;;;;
Role of native bees and natural habitats in eggplant (Solanum melongena) pollination in Kenya;Gemmill-Herren A and AO Ochieng’ ;Food and Agriculture Organization of the United Nations, Italy;Kenya;no;yes;yes;https://doi.org/10.1016/j.agee.2008.02.002;The pollination requirements of eggplant (Solanum melongena) were investigated;;;;
Seasonal diversity and abundance of insect pollinators as influenced by farming practices in cowpea and cucumber cropping systems in kikome, makueni county, Kenya;Dan Susan Njeri;Jomo Kenyatta University of Agriculture and Technology;Kenya ;Yes;Yes;Yes;http://ir.jkuat.ac.ke/bitstream/handle/123456789/5400/DAN%20SUSAN%20NJERI%20THESIS%20PDF.pdf?sequence=1&isAllowed=y;;;;;
Structure and Stability of Cocoa Flowers and Their Response to Pollination;Frimpong E.A. et al.;University of Cape Coast;Ghana;yes;yes;yes;https://www.hindawi.com/journals/jb/2014/513623/;position of staminodes around the style of cocoa flowers and the stability of cocoa flowers relative to pollination and seasonality.;;;;
Studies on pollination of Coriandrum sativum L. in Assiut area, Egypt;Omar MMO;Assiut University ;Egypt;no;yes;yes;https://agris.fao.org/agris-search/search.do?recordID=EG8901320;Study on pollination of corriander;;;;
Substrate management for cocoa polinating midges;K Frimpong-Anin, P Kwapong;University of Cape Coast;Ghana;No;yes;yes;info:zvFuj4E5w8kJ:scholar.google.com;Book;;;;
Suitability of Hedgerow Planting System in Managing Bee (Hymenoptera: Apoidae) Pollinators in Farmlands of Kenya;Guantai, MM;Kenyatta University;Kenya;Yes;Yes;Yes;https://ir-library.ku.ac.ke/bitstream/handle/123456789/15527/Suitability%20of%20Hedgerow%20planting%20system.......pdf?sequence=1&isAllowed=y;;;;;
Sunflower pollinators in Kenya: Does diversity influence seed yield?;Kasina et al;Centre for Development Research (ZEF), University of Bonn;Kenya;Yes;Yes;Yes;https://www.researchgate.net/publication/285381215_;Contains data on diversity of sunflower (Helianthus annuus L.) pollinators and their influence on seed yield;;;;
Susceptibility of the Western Honey Bee Apis mellifera and the African Stingless Bee Meliponula ferruginea (Hymenoptera: Apidae) to the Entomopathogenic Fungi Metarhizium anisopliae and Beauveria bassiana;Omuse et al.;International Centre of Insect Physiology and Ecology;Kenya;yes;yes;yes;https://doi.org/10.1093/jee/toab211;effects of entomopathogenic fungi on honey bees;;;;
Synergies of integrated pest and pollinator management in avocado farming in East Africa: An ex-ante economic analysis;Wangithi C et al;International Centre of Insect Physiology and Ecology;East Africa;yes;yes;yes;https://doi.org/10.1371/journal.pone.0271241;About interaction of pollinators and pest management;;;;
The complimentary role of wild habitats in crop pollination: a case study on the eggplant (solatium melongena l., solanaceae);Oluoch ;University of Nairobi;Kenya;no;yes;yes;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjZuZ_tzpf9AhUhRaQEHbKiDogQFnoECBgQAQ&url=http%3A%2F%2Ferepository.uonbi.ac.ke%2Fhandle%2F11295%2F96379&usg=AOvVaw3zxG96qUCikPqC8185V5Zq;Data on the role of wild habitat in crop pollination;;;;
The effect of annual flower strips on pollinator visitation and fruit set of avocado (Persea americana Mill.) in Kenya;Toukem NK et al;International Centre of Insect Physiology and Ecology;Kenya;no;yes;yes;https://link.springer.com/article/10.1007/s11829-022-09939-4;Use of flower strip to improve pollinators of avocado;;;;
The effects of herbivory on interactions of pollinators and flowers in Acacia spp. (Fabaceae, mimosoideae) in Laikipia;Otieno, Mark;Kenyatta University;Kenya;;;;https://ir-library.ku.ac.ke/handle/123456789/2346;;;;;
The impact of leafcutting bee (Megachile minutissima, Megachilidae, Hymenoptera) (Radoszkowski, 1876) artifi cial nest sites on seed production of alfalfa, Ismailia, Egypt;Shebl M;Suez Canal University;Egypt;Yes;Yes;Yes;https://www.researchgate.net/profile/Mohamed-Shebl-3/publication/286929569_Th_e_impact_of_leafcutt_ing_bee_Megachile_minutissima_Megachilidae_Hymenoptera_Radoszkowski_1876_artifi_cial_nest_sites_on_seed_production_of_alfalfa_Ismailia_Egypt/links/5670753108ae5252e6f1e8b5/Th-e-impact-of-leafcutt-ing-bee-Megachile-minutissima-Megachilidae-Hymenoptera-Radoszkowski-1876-artifi-cial-nest-sites-on-seed-production-of-alfalfa-Ismailia-Egypt.pdf;Th e impact of leafcutt ing bee;;;;
The importance of African honey bees (Apis mellifera L.) as pollinators of high value crops in Kenya: A case of butternut squash (Cucurbita moschata Duchsne Ex Poir.) pollination.;Kasina et al.;University of Nairobi;Kenya;no;yes;yes;https://webcache.googleusercontent.com/search?q=cache:uP5gF7_yHJQJ:https://profiles.uonbi.ac.ke/huria/publications/importance-african-honey-bees-apis-mellifera-l-pollinators-high-value-crops-kenya&cd=8&hl=sw&ct=clnk&gl=ke&client=firefox-b-d;Data on the importance of African honey bees in pollination;;;;
The long-tongued hawkmoth pollinator niche for native and invasive plants in Africa;Steven D. ;University of KwaZulu-Natal;South Africa;Yes;Yes;Yes;https://academic.oup.com/aob/article-pdf/117/1/25/17849712/mcv137.pdf;long-tongued hawkmoth pollinator niche for native and invasive plants in Africa;;;;
The Neglected Link: Safeguarding Pollinators for Sustainable Development in Kenya;Kariuki M;University of Nairobi;Kenya;yes;yes;yes;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwip-srRxpf9AhU-U6QEHVsUDWUQFnoECAsQAQ&url=https%3A%2F%2Fprofiles.uonbi.ac.ke%2Fkariuki_muigua%2Ffiles%2Fsafeguarding-the-pollinators-for-sustainable-development.pdf&usg=AOvVaw3BBsyHVE6KXmbCoVyQdp4g;Data on safeguarding pollinators;;;;
The Pollination Ecology of an Assemblage of Grassland Asclepiads in South Africa ;Mary et al;University of Bielefeld;Kenya;Yes;;Yes;https://academicjournals.org/article/article1381131427_;Contains data on pollination ecology, pollinator diversity and their behaviour;;;;
The Role of Bee Pollinators in Improving Berry Weight and Coffee Cup Quality;Karanja et al;Kenyatta University;Kenya;No;Yes;Yes;https://www.airitilibrary.com/Publication/alDetailedMesh?docid=20413890-201307-201508110028-201508110028-52-55#:~:text=The%20Role%20of%20Bee%20Pollinators%20in%20Improving%20Berry%20Weight%20and%20Coffee%20Cup%20Quality;Contains data on  whether pollination improves the coffee yield and quality of processed coffee in terms of taste and aroma;;;;
Use of earth observation satellite data to guide the implementation of integrated pest and pollinator management (IPPM) technologies in an avocado production system;Adan M et al;International Centre of Insect Physiology and Ecology;Kenya;No;Yes;Yes;https://doi.org/10.1016/j.rsase.2021.100566;use of satellite data;;;;
Yeasts in floral nectar of some South African plants: quantification and associations with pollinator type and sugar concentration;C de Vega;University of KwaZulu-Natal;South Africa;Yes;Yes;Yes;https://www.sciencedirect.com/science/article/pii/S0254629909002683;an important third player in plant–pollinator mutualisms, but … plant species, test whether they affect nectar properties, and investigate associations between yeast incidence and pollinator;;;;
